variety,tilt,yield
IR8,plain,250.2
IR8,plain,249.97
IR8,plain,250.08
IR8,plain,250.29
IR8,plain,250.27
IR8,slope,240.5
IR8,slope,240.82
IR8,slope,240.61
IR8,slope,240.3
IR8,slope,240.65
Jaya,plain,260.75
Jaya,plain,260.64
Jaya,plain,260.57
Jaya,plain,260.17
Jaya,plain,260.52
Jaya,slope,275.32
Jaya,slope,275.56
Jaya,slope,275.59
Jaya,slope,275.24
Jaya,slope,275.82
Taichung,plain,280.76
Taichung,plain,280.83
Taichung,plain,281.29
Taichung,plain,280.66
Taichung,plain,280.62
Taichung,slope,252.79
Taichung,slope,252.92
Taichung,slope,253.29
Taichung,slope,253.25
Taichung,slope,253.14
